Generation,MeanFitness,StdDevFitness,MaxFitness
1,7.601470285872804,15.541739298638229,66.15067522005315
2,13.053445641835024,18.376544164930937,66.49874178945527
3,11.134624532739434,15.701293809583394,57.544678884642295
4,1.4249402610295954,10.097643248436622,39.32667673282851
5,3.0091206315274253,12.122958685797329,57.24425778641309
6,11.319046264953174,16.807021090005428,75.3266767328285
7,13.04485657166475,16.533275628601178,85.02322890233346
8,14.886897932649521,17.666575811623662,66.30290651349459
9,14.992224510393871,16.64936968507219,57.4316554962389
10,17.373028025498776,17.526199170144178,75.32324619773172
11,16.058768117489418,17.150971365170243,86.73288973525115
12,18.309039797606864,17.78953336185514,75.49061166337202
13,19.93415939040722,20.308765884262407,86.21060701409176
14,19.481969623533544,19.202097137485264,85.61060701409177
15,14.059978375485617,17.107910590056935,57.3029065134946
16,18.601566198823047,19.938158211486964,84.49736666659865
17,18.182331996069703,21.783649409981557,85.77288973525114
18,18.049898981397476,21.747123131836283,66.34751081973135
19,20.269660709166693,21.59402757714129,84.94784596782226
20,22.136447718674976,22.318541328378043,84.36698639161588
21,24.105226654926092,19.742506181293276,84.38626719449066
22,29.54066541149947,24.00276234962261,87.94405089685371
23,27.794009991215184,21.809899232089634,85.55959913428288
24,25.696181717507784,19.415254747803147,75.39052820481504
25,24.59740586119542,19.856567285294606,75.34751081973135
26,21.661290256223246,21.6152407359242,86.91105438238982
27,23.890275512827575,19.952451690462823,75.35455310235676
28,23.527417914282285,21.04995420828676,87.13703951986408
29,27.820880062918448,19.409402642794443,88.25165549623893
30,18.55501203921119,18.151804555315856,86.07288973525115
