Generation,MeanFitness,StdDevFitness,MaxFitness
1,7.091751251255282,27.849329314760034,89.40283177470683
2,10.261960399753224,27.68971446336663,89.40283177470683
3,10.665802149148307,28.063362950431763,89.9719398588649
4,11.886795680180507,27.84173932905916,89.9719398588649
5,18.71183408334024,31.43083744704433,89.9719398588649
6,27.012783563244724,34.56990426780702,90.67968822339262
7,33.74384436949551,35.03227494280111,90.67968822339262
8,41.213396917152544,34.80991721007765,90.67968822339262
9,51.77979098330534,36.427811560164336,90.73968822339262
10,52.62171736158875,37.05975624279694,92.7996441749217
11,60.79807111448132,36.36394824591105,92.7996441749217
12,63.6744750447496,34.32761615440316,92.7996441749217
13,66.38608639609019,31.57928204256164,92.7996441749217
14,63.51189528494815,34.4927279801569,92.7996441749217
15,69.52042477659016,31.05279579283422,92.7996441749217
16,55.84313456096498,40.332373008754764,92.7996441749217
17,69.7370681298792,34.54874968326311,92.7996441749217
18,66.67660401875665,34.00077845302363,92.7996441749217
19,76.38883744597872,26.19668056602594,92.7996441749217
20,74.97254050601789,27.096831278440543,92.7996441749217
21,57.20136686538421,40.91396333087593,92.7996441749217
22,74.09897900174045,29.36275853949592,92.7996441749217
23,77.32096722146719,25.493809807773317,92.7996441749217
24,78.12228139680755,25.07577197153301,92.7996441749217
25,76.27742816462586,26.3626847141731,92.7996441749217
26,63.20145776135025,37.36871302670075,92.7996441749217
27,73.41368422364147,29.897655746307553,92.7996441749217
28,77.6371957735408,25.10850231643513,92.7996441749217
29,83.64079195867251,16.062338890989317,92.7996441749217
30,77.53878110514191,24.827823692487463,92.7996441749217
