Generation,MeanFitness,StdDevFitness,MaxFitness
1,37.0848830970313,37.083133541141635,90.77302464366022
2,46.630442578634295,34.35150937887098,87.13935834262664
3,54.67942236501096,35.317772208299004,90.30779752022556
4,64.36597146449216,34.636440382098044,89.65968822339262
5,51.414359350860096,40.37243202629319,89.77356122494231
6,37.086141534676976,32.348777659321186,90.77302464366022
7,44.18668442613333,34.132573331221664,90.83642023266135
8,52.19770940156,37.89027082959707,90.77642023266135
9,49.63398079093427,39.58245490973409,92.2818800061558
10,40.67048647850462,34.20415323996474,91.59282822853991
11,44.020499245491344,33.908427697461505,91.0466105112725
12,59.711028274180144,33.039971386445586,92.89669509194094
13,36.91388966874865,36.85158897593803,91.93669509194095
14,33.83586883164665,38.99207853445986,92.95669509194094
15,36.949885416892805,32.40769799821169,90.96693855665949
16,32.7949800023241,27.812498777154843,90.83642023266135
17,51.28738760792753,36.454015826375596,93.19669509194094
18,47.713235652733275,36.188511105666265,90.96324619773175
19,43.31306982177593,37.09394473384257,92.41669509194095
20,36.52273993149086,34.099638464998534,92.28693855665946
21,60.43358570308946,32.548813528438025,92.89669509194094
22,57.02833660656341,33.65206207266596,92.26506424239103
23,55.02760694286613,35.39950029617598,92.95669509194094
24,54.321190496068766,35.661377884085255,92.89669509194094
25,54.966030484244996,33.91381631733164,93.19669509194094
26,53.997413008499706,32.41269299333596,92.95669509194094
27,58.38182754123523,33.2181189303136,93.19669509194094
28,61.966524904035616,33.173809979022195,93.19669509194094
29,58.34418356256606,35.54009622647016,92.95669509194094
30,55.37321800679063,35.045001287742885,93.19669509194094
