Generation,MeanFitness,StdDevFitness,MaxFitness
1,29.791330432052774,42.231926715494836,91.53703951986405
2,53.66965755568336,38.16832458114419,92.69061166337202
3,69.85112592518433,28.991193898124017,92.87603602059674
4,76.11987063048308,24.04934585138312,93.47603602059674
5,77.37275093670526,26.300356148750733,92.87603602059674
6,69.1043943783366,33.442872388446084,93.27603602059675
7,78.28287714138192,23.760248175556594,93.06728120673463
8,84.079645699745,16.618493934065324,93.47603602059674
9,85.11287235668286,15.33385820984746,93.47603602059674
10,83.31748103862627,20.78380300793003,93.48200618758324
11,81.35471069212845,14.618421148646423,93.47603602059674
12,83.78536016836348,18.343601868947562,93.67603602059674
13,80.85919756006517,22.444260445008894,93.47603602059674
14,77.71349625294283,27.8968410155475,92.69061166337202
15,76.70355346054235,24.415124324289945,93.87603602059674
16,81.92078412171362,19.46097158663207,93.47603602059674
17,77.24595020519672,25.626994138864834,93.13214184093668
18,83.16144212673204,19.649795771305325,93.49405452609942
19,82.24861820477868,21.321357620473677,93.47603602059674
20,82.78061779110023,21.4003805992929,93.67603602059674
21,84.23191208175143,19.75901714425464,93.87603602059674
22,84.66266136569344,20.03240610062768,93.87603602059674
23,81.22889918679681,20.71608545122372,93.47603602059674
24,85.52094923577441,17.629452373875637,93.87603602059674
25,86.95573172490437,15.606696701982843,93.87603602059674
26,87.3680105042088,15.64789486882168,93.89405452609942
27,83.90520619705958,18.98755848114619,93.89405452609942
28,86.32547803075899,11.29998783727509,93.9001335721758
29,85.53315689135077,19.06451276625004,93.90624979919323
30,83.03426628601878,22.882418764044072,93.9001335721758
