Generation,MeanFitness,StdDevFitness,MaxFitness
1,70.20631598,36.54538075,93.80168263
2,89.44446353,11.05183329,93.76670841
3,91.08373285,2.157119519,93.73870783
4,86.50791626,20.23873704,93.68168263
5,90.05439609,13.1884569,93.439465
6,90.39333888,3.372098017,93.73870783
7,90.06775609,7.382444731,93.38889138
8,90.17871301,3.881798978,93.66482618
9,90.43646797,5.907351203,93.68168263
10,91.7356334,1.847257066,93.63639338
11,90.13156913,10.15367344,93.8809447
12,90.45536929,5.315675986,94.18670841
13,90.61301985,4.303378276,93.9409447
14,90.77534878,5.004896625,93.80669518
15,90.1969991,5.743922183,93.9409447
16,89.18327427,5.765673707,93.80669518
17,89.76124467,7.69743738,94.26482618
18,91.27673455,4.824190109,93.99964417
19,90.18077604,7.163488257,94.20482618
20,89.80127341,4.107269081,94.20482618
21,89.66185584,7.809144814,94.18670841
22,90.33990809,6.553126884,94.26482618
23,90.28733644,8.243695381,94.26482618
24,91.02548382,4.171162733,94.00670841
25,91.17297838,2.70761802,94.20482618
26,88.63260619,10.64484139,94.26482618
27,89.85806658,7.842104414,94.00670841
28,90.94297575,5.606830755,94.26482618
29,90.95842899,4.429238231,94.12670841
30,91.11168387,7.781597034,94.26482618
,89.5491889,7.71471474,93.95438647
