Generation,MeanFitness,StdDevFitness,MaxFitness
1,10.104118625307802,29.687293183771917,92.39486503108353
2,15.718900602333692,35.02597971276015,93.49482255552044
3,23.251716732938817,38.497795113887044,93.49482255552044
4,44.637650590670475,43.87551627409473,93.49482255552044
5,48.942456291718095,44.62551198297123,93.49482255552044
6,51.67790305188402,43.94574196135379,93.49482255552044
7,66.7572579993337,38.54531640153373,93.49482255552044
8,57.547849680525395,44.10229908300193,93.91173230259881
9,61.05538983701406,42.494308879676495,93.91173230259881
10,74.23290510272548,35.25901681298503,93.91173230259881
11,78.86456511849597,32.09260141104653,93.91173230259881
12,89.30954898959533,15.98371086671818,93.92353644806849
13,85.05712847114071,24.276816542010828,93.92353644806849
14,85.18352959013788,24.21797603414875,93.92353644806849
15,85.2443487368292,22.739220981010487,93.92353644806849
16,89.60318834796524,15.512067290426668,93.92389959779558
17,89.46225408354616,15.908147279263835,93.92389959779558
18,87.07835498271717,21.134778270651452,93.9352140260765
19,88.89323913001833,16.587305981418837,93.9352140260765
20,88.60117550523816,16.497821784875622,93.9352140260765
21,88.02592249313597,18.93632631968624,93.9352140260765
22,91.95119360459353,3.678020912586583,93.9352140260765
23,90.770682159602,10.65939526112548,93.9352140260765
24,75.04204677599608,35.78199108944976,93.9352140260765
25,83.67630644072136,26.103364849898895,93.9352140260765
26,89.82879286729242,13.255698448702145,93.9352140260765
27,88.81438897444332,17.771516338410613,93.9352140260765
28,90.63458513264317,11.42684769668965,94.40168263345197
29,89.89928183194579,13.6903417520637,94.40168263345197
30,90.71948845308621,10.909523760319995,94.40168263345197
