Generation,MeanFitness,StdDevFitness,MaxFitness
1,26.84160637,37.3108072,92.73193986
2,36.20573333,35.49483793,92.39605369
3,46.55894158,36.51808687,93.20278773
4,68.14598429,32.5452572,93.00278773
5,70.75105565,30.57200011,93.40956741
6,75.45430783,26.96234919,93.40956741
7,78.63552507,25.33982927,93.40956741
8,79.182508,26.13282171,93.40956741
9,79.74327284,25.48418468,93.00278773
10,81.24089225,23.13240807,93.40956741
11,77.36791742,25.54304432,93.20278773
12,82.94279252,23.04181257,93.40956741
13,80.88574481,23.71795962,93.40956741
14,85.2644812,16.2492631,93.40956741
15,86.68589,14.25541286,93.40956741
16,86.96655569,13.72562239,93.40956741
17,86.75708435,13.63158736,93.40956741
18,85.06901324,19.53446964,93.40956741
19,88.07501313,13.55761656,93.40956741
20,88.62266451,11.00269602,93.40956741
21,88.04964688,10.39562285,93.40956741
22,87.91115658,11.9758567,93.40956741
23,88.5473998,12.64320325,93.40956741
24,89.34405298,6.49933177,93.40956741
25,89.17120866,10.82214499,93.40956741
26,88.84891378,10.99956743,93.40956741
27,89.82489147,5.078794573,93.40956741
28,89.22889237,9.14924998,93.40956741
29,88.98992108,11.33118389,93.40956741
30,89.42405982,8.264377693,93.40956741
