Generation,MeanFitness,StdDevFitness,MaxFitness
1,60.02653081,38.18281239,93.93173297
2,58.62239574,37.11639637,93.93173297
3,45.23196198,35.39944796,92.77504998
4,51.03588673,37.002687,93.48420156
5,84.52416431,23.05034976,93.93173297
6,89.14578208,14.82386286,93.38353645
7,84.30791293,22.48019012,93.93173297
8,69.58217253,33.47199892,92.96661051
9,74.58047826,31.88321727,92.96661051
10,87.54621781,18.19842067,93.93173297
11,88.53861461,16.05451103,93.16878822
12,85.53114123,22.54222968,93.93173297
13,82.78949521,23.6907205,92.89504998
14,90.47409128,10.31044539,93.93173297
15,90.12622754,11.72580956,93.93173297
16,88.47873578,16.43451164,93.93173297
17,91.83174046,3.91426865,93.01936108
18,90.83974779,10.16617889,93.93173297
19,89.96112575,12.49952223,93.93173297
20,88.25708968,17.62324138,93.01936108
21,88.22065976,18.09626128,93.93173297
22,91.55596927,7.578890962,93.93173297
23,91.70540556,7.233975596,93.93173297
24,92.27610416,1.125715023,93.93173297
25,87.84411373,17.98929193,93.93173297
26,88.4724727,16.82728344,93.93173297
27,89.29732071,15.17617242,93.93173297
28,89.45612611,14.66517717,93.93173297
29,90.45455635,11.62507399,93.93173297
30,89.20534695,15.52680545,93.93173297
