Generation,MeanFitness,StdDevFitness,MaxFitness
1,12.547449909573103,22.19569365922855,89.39342407327507
2,19.865090976628938,19.019336297575272,85.21379137609951
3,30.913997408840427,21.301431708314464,89.39342407327507
4,34.75415362406426,22.03258877557163,89.52695546589959
5,41.3421330060273,28.41643329725174,90.0137913760995
6,40.47573935948105,30.865053620758022,90.19342407327508
7,34.45875419539951,28.80543597503913,88.44514190598358
8,36.44326464498443,28.59285016669377,90.21585110906253
9,45.888488281654666,31.06719080689055,90.4137913760995
10,43.22111246247124,24.319915939073585,90.79342407327508
11,36.96882398178758,20.950716392085578,88.80603857269342
12,27.757753640685156,22.284054920913448,89.39342407327507
13,34.36941688374017,25.269723678972227,89.39342407327507
14,44.42155995332917,28.219409649272365,89.6137913760995
15,42.440849459230655,28.978640913942566,90.35974528872259
16,49.50550593009015,28.46132920564151,90.39342407327507
17,52.925994726253805,26.834827586431274,90.19342407327508
18,48.37598638337927,26.86831019751582,90.19342407327508
19,53.71193008393158,26.97627764829511,90.55736716631762
20,52.696162266849626,25.980133711910852,90.61585110906252
21,56.504390620309636,25.783969722026967,90.95736716631762
22,45.57624533241431,29.17049269278067,90.0137913760995
23,33.60631441448821,32.94353239284472,89.79342407327508
24,47.38403743394054,27.251041344946074,90.35736716631763
25,54.65094946415619,26.058796450966582,90.95736716631762
26,60.67581854921297,23.77962069886011,90.31095512455316
27,59.44796308735587,28.2804113121346,90.4137913760995
28,67.00377905920796,22.538080880393387,92.02619038813074
29,52.35913844429404,28.51528406814153,91.82619038813074
30,47.74784909844429,28.28059861331085,91.22111423509888
