Generation,MeanFitness,StdDevFitness,MaxFitness
1,43.85788599,38.86186689,92.79605369
2,64.45776541,36.34127064,93.20704315
3,61.09691327,38.93443218,93.40956741
4,70.76076503,34.48898768,93.40956741
5,81.09108602,23.82077549,93.20278773
6,84.62383552,16.91846323,93.40956741
7,87.17556138,9.251097204,93.40956741
8,86.88599356,10.75561645,93.40956741
9,87.87153774,17.20235064,93.40956741
10,84.63358779,19.26920167,93.40956741
11,90.30379808,4.591634429,93.40956741
12,89.85548105,5.851948051,93.40956741
13,88.78164325,11.51194501,93.40956741
14,89.1552862,7.168644882,93.40956741
15,89.50897866,8.992074608,93.40956741
16,89.8542688,8.28137384,93.40956741
17,89.97899667,4.440062156,93.40956741
18,89.65031111,10.15225573,93.40956741
19,89.97126492,4.906456399,93.40956741
20,87.70935497,13.48381017,93.40956741
21,88.97962476,11.58222736,93.40956741
22,90.58380908,2.582775047,93.40956741
23,90.58769619,2.939948824,93.40956741
24,88.90424809,13.83224671,93.40956741
25,89.8807466,10.03211327,93.40956741
26,89.5486268,9.780425331,93.40956741
27,90.30383413,3.304002762,93.40956741
28,89.40730067,9.903591179,93.40956741
29,90.84126055,3.803471487,93.40956741
30,90.94625733,2.555682144,93.40956741
