Generation,MeanFitness,StdDevFitness,MaxFitness
1,22.83917257,37.57243093,92.69061166
2,61.94109146,37.48379651,92.69061166
3,76.78249464,24.44841465,92.69061166
4,76.94447153,27.58148386,92.69061166
5,61.46738462,32.89399345,92.64704042
6,64.49848049,29.91622274,92.73193986
7,70.80686402,24.09726335,92.64704042
8,76.2576263,21.8146465,92.69061166
9,77.88490493,23.51991529,92.64704042
10,76.36251387,23.40529201,92.69061166
11,67.86545128,27.250688,92.64704042
12,70.11871731,25.04165263,92.73193986
13,75.91090031,25.44997415,92.69061166
14,74.35211939,26.47493315,92.64704042
15,74.01846354,24.74575456,92.69061166
16,73.11501938,27.29751413,92.69061166
17,72.70438237,26.53867782,93.13193986
18,53.84507776,34.05690423,92.64704042
19,52.30509542,33.98493508,92.73193986
20,63.66598653,28.91295116,93.13193986
21,66.6180556,27.12775262,92.64704042
22,61.77156589,28.172818,92.64704042
23,61.80911535,30.49785125,92.69061166
24,65.53392383,27.80701041,92.69061166
25,59.39257656,30.46277739,92.57237889
26,62.02023746,29.17406021,92.69061166
27,65.54628898,27.91258724,92.64704042
28,63.30181797,27.49327856,92.69061166
29,65.90010756,27.1271312,92.64704042
30,61.3498206,30.14465707,92.44704042
,65.89765758,28.28024561,92.69758248
