Generation,MeanFitness,StdDevFitness,MaxFitness
1,19.39239902,34.88416312,93.01936108
2,38.52643548,40.53696296,93.11326263
3,53.04009335,38.73901067,93.93173297
4,59.32231586,38.53546481,94.06506424
5,74.72076208,33.15587534,94.06670841
6,67.34009438,35.96280323,94.29964417
7,76.76407553,32.98397254,94.17964417
8,77.88749743,31.81653638,93.99173297
9,78.495774,30.59817715,93.93173297
10,81.24328722,25.92700209,93.94670841
11,74.44905002,31.86622287,94.17964417
12,76.94407778,33.29500493,94.07250552
13,81.87929289,27.41541898,93.93173297
14,81.42196665,28.07021658,94.16669518
15,83.14656337,26.50113889,94.06506424
16,86.99538032,20.22032421,94.17964417
17,81.83907801,27.03244204,94.04669518
18,79.42202838,29.49575273,94.23425333
19,81.27460919,27.63151887,94.29964417
20,86.1422391,21.31179522,94.29964417
21,89.41661277,14.78646791,94.29964417
22,88.96921737,16.9264915,94.29964417
23,84.13175425,24.35452223,94.29964417
24,86.42854549,20.76357259,94.3910958
25,84.72198311,23.06240414,94.29964417
26,83.76414409,25.43785776,93.93173297
27,85.43031345,22.98995075,94.23425333
28,87.54258573,17.11331627,94.29964417
29,83.6475098,25.28223051,94.05173297
30,86.10910475,21.82430042,94.3910958
