Generation,MeanFitness,StdDevFitness,MaxFitness
1,36.81022221,36.64458257,91.39968822
2,48.4012087,33.85385575,91.87356122
3,49.57712987,33.48461716,91.87356122
4,54.0973309,35.25149765,91.09356122
5,58.89066018,35.1180906,91.87356122
6,64.44985045,31.54285364,91.87356122
7,68.46928295,30.50394157,91.87356122
8,68.06128448,27.90292471,91.45968822
9,67.61729959,31.32165989,91.93356122
10,74.81516324,24.4499455,91.87356122
11,73.97934685,26.12443898,91.93356122
12,70.82470107,27.01043042,91.99356122
13,62.1405853,30.27371937,91.87356122
14,59.96127537,29.04225035,91.69356122
15,66.35819404,26.35819087,91.93356122
16,62.39123448,30.68443891,91.87356122
17,65.54731844,28.56894261,91.87356122
18,68.42774941,28.75293635,91.99356122
19,67.37117782,25.95230024,91.93356122
20,64.06793794,29.34053588,91.87356122
21,62.74018621,28.1280091,91.99356122
22,70.75835372,25.47391849,91.87356122
23,68.43209916,25.54102466,91.99356122
24,67.96772108,25.21968719,91.93968822
25,68.33814396,26.77892312,91.99356122
26,67.94205333,24.35535668,91.93356122
27,65.7254285,28.93635748,91.99356122
28,67.89033806,27.52762056,91.99356122
29,67.58273484,25.26941209,91.99356122
30,67.27779059,24.50340466,92.05356122
