Generation,MeanFitness,StdDevFitness,MaxFitness
1,22.900527646900372,25.36758533575195,74.78539190157781
2,40.52995162431925,23.33031851686266,91.05457939139342
3,38.74711819616548,20.41304373235689,89.4137913760995
4,40.08340480423949,20.170262722650296,86.99342407327508
5,42.871743351164625,20.544479589493648,87.01585110906252
6,43.02428422519305,19.93046921391608,87.09744140538643
7,48.27746663521607,22.721185280957712,89.44302101441444
8,48.963054091762714,17.62480846894433,86.19140997390338
9,49.84032878768142,22.80335930735521,91.25196501081936
10,53.74834568208254,17.999192664951533,90.5911868145574
11,56.7986041710084,15.754630849413786,89.79342407327508
12,53.74255241494657,17.404107830294144,91.8572006248733
13,48.819201068040556,22.55169759836908,89.59342407327507
14,44.097404063807474,21.945143338744824,87.61585110906252
15,53.965215885041715,20.954965200144283,91.55974528872258
16,61.41115643078507,17.080415290941314,89.59342407327507
17,59.95915047457193,19.264976071508936,90.70835578817422
18,60.952690073214555,17.368685169252856,91.39118681455741
19,58.04807550288787,19.786828270702795,91.5911868145574
20,55.9677819035286,20.971177488330817,91.39364684039828
21,58.702140446928894,19.184949523068926,89.99140997390337
22,54.620967561886154,17.619150223447512,90.19342407327508
23,58.94939054939916,20.612578138972214,91.70192571783376
24,60.44197123904009,19.76445993732769,92.08379793739256
25,63.86119849943391,18.175691560160836,91.99364684039827
26,66.53441355257146,17.216625764533262,91.99364684039827
27,61.89320076655366,19.483954881533023,91.59364684039826
28,63.53396123605758,19.85010533762174,91.49968104797993
29,62.02159865418717,18.21588116354617,89.99342407327508
30,57.73581829405825,19.74161401947911,89.99140997390337
