Generation,MeanFitness,StdDevFitness,MaxFitness
1,40.527808,39.91517857,93.20278773
2,70.05784654,29.8935224,93.40956741
3,81.26338292,18.18869244,93.40956741
4,81.4478995,21.66231308,93.40956741
5,81.14891593,20.29603327,93.40956741
6,79.47726525,25.37475141,93.40956741
7,84.00145151,18.7248352,93.40956741
8,86.67726392,14.08314285,93.40956741
9,87.96088942,9.802137417,93.40956741
10,84.54793323,16.138313,93.40956741
11,85.39862457,18.03834816,93.40956741
12,84.60503711,19.05559459,93.40956741
13,86.15612289,19.22853966,93.40956741
14,87.87778066,12.37363482,93.40956741
15,87.76899042,9.169483833,93.40956741
16,88.70693821,10.68917015,93.40956741
17,89.29943446,6.723525384,93.40956741
18,87.38975214,16.48059056,93.40956741
19,89.22149124,10.48458578,93.40956741
20,87.19907857,14.72584708,93.40956741
21,86.91011411,16.28888985,93.40956741
22,88.28589152,12.23755556,93.40956741
23,90.40865157,2.715541265,93.40956741
24,89.59792586,8.682421531,93.40956741
25,89.04737869,10.76458205,93.40956741
26,88.81695148,11.14147837,93.40956741
27,90.4348595,4.152539555,93.40956741
28,87.50608553,14.46292245,93.40956741
29,88.85783775,11.19585624,93.40956741
30,88.26493595,11.6720166,93.40956741
AVG.,84.62881795,15.14540144,93.40267476
