Generation,MeanFitness,StdDevFitness,MaxFitness
1,29.79133043,42.23192672,91.53703952
2,53.66965756,38.16832458,92.69061166
3,69.85112593,28.9911939,92.87603602
4,76.11987063,24.04934585,93.47603602
5,77.37275094,26.30035615,92.87603602
6,69.10439438,33.44287239,93.27603602
7,78.28287714,23.76024818,93.06728121
8,84.0796457,16.61849393,93.47603602
9,85.11287236,15.33385821,93.47603602
10,83.31748104,20.78380301,93.48200619
11,81.35471069,14.61842115,93.47603602
12,83.78536017,18.34360187,93.67603602
13,80.85919756,22.44426045,93.47603602
14,77.71349625,27.89684102,92.69061166
15,76.70355346,24.41512432,93.87603602
16,81.92078412,19.46097159,93.47603602
17,77.24595021,25.62699414,93.13214184
18,83.16144213,19.64979577,93.49405453
19,82.2486182,21.32135762,93.47603602
20,82.78061779,21.4003806,93.67603602
21,84.23191208,19.75901714,93.87603602
22,84.66266137,20.0324061,93.87603602
23,81.22889919,20.71608545,93.47603602
24,85.52094924,17.62945237,93.87603602
25,86.95573172,15.6066967,93.87603602
26,87.3680105,15.64789487,93.89405453
27,83.9052062,18.98755848,93.89405453
28,86.32547803,11.29998784,93.90013357
29,85.53315689,19.06451277,93.9062498
30,83.03426629,22.88241876,93.90013357
Average,78.77473361,22.21614006,93.43856737
