Generation,MeanFitness,StdDevFitness,MaxFitness
1,7.904685196144,28.844699982761973,87.16586946817496
2,19.763808643907065,36.810588178278216,89.04322890233345
3,24.265565530456808,38.6091136195264,89.28322890233346
4,31.951678184384328,40.52562628463577,89.28322890233346
5,36.036507705887,40.117747468216166,89.37853908213779
6,38.36483168824497,39.91005588122285,89.85970258104908
7,46.39784270890364,40.54781189154057,90.91968822339261
8,59.20306820645488,38.55444182580625,90.91968822339261
9,59.15187111297754,39.18692027892429,90.91968822339261
10,69.84424710170916,32.87260369963255,91.01302464366022
11,66.07352823047839,36.96120710766272,91.01302464366022
12,78.96667509090392,23.789470481556624,91.01302464366022
13,77.02230924503765,28.11957601687514,91.01302464366022
14,76.25036334954974,27.608724219424385,91.01302464366022
15,77.23459563919548,25.38791558873882,91.01302464366022
16,70.9205279000412,33.54084038252161,91.01302464366022
17,76.66596833107137,26.613298993343474,91.01302464366022
18,72.0693803143048,32.39652770996897,91.01642023266135
19,74.90845224776304,28.507680585999662,91.01642023266135
20,79.57231175745525,23.39833016684062,91.01642023266135
21,76.74831349383555,25.769121919620993,91.01642023266135
22,80.93746591617563,20.007079747860715,91.01642023266135
23,81.78055951920781,18.696689738296474,91.01642023266135
24,60.45202310306955,39.872213047872954,91.01642023266135
25,75.22150065105491,28.33748821690069,91.01642023266135
26,77.1295519826871,24.893418698325505,91.01642023266135
27,82.8566417319002,16.57239105340363,91.03968822339262
28,81.46773127649627,19.874616706581058,91.03968822339262
29,82.73205979233674,17.930724422109396,91.03968822339262
30,78.47307869762719,23.054033952743417,91.03968822339262
