Generation,MeanFitness,StdDevFitness,MaxFitness
1,2.4725247320850583,15.720241978462358,75.3266767328285
2,1.3169678902148592,11.107518184552475,39.50693855665945
3,0.9382478102988477,10.287396332315122,47.254763650515635
4,2.6227220562231652,11.09358336487024,57.375982493812664
5,12.163339625881058,18.254247942722188,85.29288973525115
6,11.127327761609642,20.859763975016726,85.50322890233345
7,22.327036794675266,22.456721001913227,84.69288973525114
8,23.349302432976316,20.511720738589137,86.87959913428288
9,21.819011096664177,24.139561534561242,85.8701190770195
10,24.28808537191732,24.24910078051961,85.79379680945986
11,26.687745923436022,23.31243119182041,86.0654484544556
12,26.325689503159875,21.34527246833108,75.23794861721983
13,27.715681488326858,24.0975901207339,85.47288973525114
14,34.886243189473056,23.972260239267392,86.69598249381268
15,37.00323148310314,22.591309897085864,86.35703951986407
16,34.99814775418916,26.399804162252185,86.48751081973138
17,36.0386733689488,24.80424773875428,85.96290651349462
18,39.27668476101189,29.038733865346458,87.56772932632855
19,41.98150135028884,28.822928181309127,86.90772932632855
20,37.694263397990674,28.48728548057385,86.34667673282853
21,39.077551940455415,26.499334499461888,86.33598249381268
22,41.080926546330886,29.010008439020385,87.01703951986407
23,47.468769257324354,25.09932016954337,87.13106227384333
24,53.908539605479916,28.149392131467124,87.08772932632856
25,45.58503115086365,27.691055458408634,87.23165549623893
26,48.168094299014285,27.289869512502136,87.50772932632856
27,54.73072738500734,26.70253457107031,87.56772932632855
28,51.431430520373006,30.906066553056746,87.60283177470681
29,39.62671294952469,32.22624641056454,86.77520306650936
30,40.09236828348588,28.95653497499107,87.43106227384334
