Generation,MeanFitness,StdDevFitness,MaxFitness
1,22.20221749,34.15068644,92.89065437
2,33.89589392,39.85460311,94.01730981
3,37.27921374,42.24599962,93.49825298
4,34.00005534,39.16166553,93.6032462
5,20.13823982,31.32272032,92.7764149
6,21.74195621,31.95742205,92.57931837
7,41.85501978,41.26210221,93.69521403
8,35.76319898,38.11013204,93.26661051
9,34.52984465,38.06410055,94.00506424
10,34.97174372,39.83273039,93.97605369
11,35.66377333,38.31326316,93.14226955
12,38.90362322,39.25023892,93.33057091
13,32.45743524,37.7344238,93.3440509
14,40.08529303,39.7554174,92.73057091
15,36.97849845,37.81274345,94.00670841
16,34.6777074,37.65963555,93.45057091
17,36.93296103,37.07155383,93.21057091
18,36.86613406,38.31554348,93.04041449
19,40.65889359,38.17671203,94.51605369
20,67.37348218,37.41531052,93.93173297
21,79.62393998,28.89397673,94.51605369
22,75.40678768,33.28898318,93.9462498
23,70.77079547,36.74980238,94.06506424
24,74.64731712,34.21312773,94.25240366
25,78.17433862,32.05045119,93.87679627
26,78.23223909,32.1001121,94.15605369
27,80.04448188,28.85901199,94.51605369
28,77.39147221,31.23795186,94.21605369
29,80.22542311,29.08462513,93.54936471
30,72.77298982,36.26728597,93.4317323
