Generation,MeanFitness,StdDevFitness,MaxFitness
1,35.52346888,45.04128459,94.05679627
2,45.98093109,43.45290634,92.659465
3,49.81396356,41.21003316,93.91669509
4,53.53449235,38.91378422,93.93173297
5,46.66143789,42.95246108,93.99679627
6,37.0394802,44.83347041,94.67859564
7,48.91851078,43.63938483,94.82278773
8,78.45237191,28.89029864,94.41521403
9,74.18286616,33.44593684,94.05679627
10,75.06061376,33.69905803,94.19250552
11,81.93182658,28.03470419,94.55859564
12,84.2170571,24.44027201,94.47521403
13,84.60768135,23.74629662,94.73859564
14,87.03638483,20.2218048,94.76278773
15,81.78673061,27.76362445,94.76278773
16,84.71576312,22.69540526,94.88278773
17,84.45426132,24.27575685,94.82278773
18,84.90727399,24.87648781,94.76278773
19,85.21369086,22.97330867,94.88278773
20,84.3591087,25.31253842,94.73240366
21,87.70686976,19.92715219,94.82278773
22,89.47004133,16.03674993,94.88278773
23,89.47785628,16.35825831,94.46889138
24,88.13684723,19.14138924,94.82278773
25,89.70588078,15.82480575,94.88278773
26,89.78755583,16.51530569,94.88278773
27,89.1038753,17.41315283,94.82278773
28,88.95460424,19.03040026,94.82278773
29,88.49111566,19.44290533,94.82278773
30,89.30835729,17.05490256,94.88278773
