Generation,MeanFitness,StdDevFitness,MaxFitness
1,31.16720758,38.90988017,92.69061166
2,37.80650811,40.46873795,92.69061166
3,46.63739589,39.72997339,93.06728121
4,68.90753512,25.91018238,93.07212383
5,68.17656815,27.26338623,93.07212383
6,66.65727973,29.37971531,92.73193986
7,65.55244662,27.85785993,92.93193986
8,70.77389284,27.86629203,93.13214184
9,73.51512689,23.72970323,93.33616819
10,77.73303878,20.52232298,93.87603602
11,70.91707685,27.09750025,93.87603602
12,73.02413267,22.70666745,92.93193986
13,79.86220279,16.75553743,93.40956741
14,73.77691535,21.93247633,93.13214184
15,68.59903154,26.54498375,93.67603602
16,74.685007,21.10200344,93.67603602
17,79.64711143,19.21187235,93.06728121
18,77.07466143,18.67628676,93.07212383
19,73.66776179,23.1559525,93.06728121
20,79.89816708,16.5526773,93.48200619
21,79.18451141,16.69555692,93.67603602
22,77.92296759,18.46565529,93.87603602
23,78.8577176,17.62189183,93.06728121
24,79.36245369,18.78650969,93.67603602
25,79.14923736,18.19092989,93.87603602
26,78.19981816,18.39854531,93.87603602
27,79.38078343,18.26058919,93.67603602
28,78.42954294,19.71306587,93.87603602
29,79.39791569,16.06541282,93.87603602
30,78.51399139,18.81671705,93.87603602
AVG.,71.5492669,23.21296283,93.3781011
