Generation,MeanFitness,StdDevFitness,MaxFitness
1,10.54587145,29.10281627,93.67669509
2,5.782470505,24.91626379,93.43669509
3,5.716725135,24.90308775,91.03106227
4,19.99807859,36.23573072,91.11105438
5,32.10201088,36.25861521,92.0148089
6,36.38701001,35.41555183,90.73968822
7,33.22507908,35.56767156,91.39703952
8,32.21988056,38.70089253,92.0916555
9,35.39478408,39.06713263,93.75289247
10,38.99015983,36.95343945,91.72290651
11,33.90720432,32.90271378,93.75289247
12,40.09509644,35.21088501,93.75289247
13,52.14385395,36.87862929,93.75289247
14,42.21293384,37.5037578,93.75289247
15,49.75677129,36.08280413,93.75289247
16,48.36822129,36.49149359,93.75289247
17,54.22909589,34.05886691,93.75289247
18,53.86186501,36.78874663,93.75289247
19,59.4723927,35.73656342,93.75289247
20,57.03202905,32.91856212,93.75289247
21,59.00347014,35.2557381,93.75289247
22,58.92214195,36.27109772,93.75289247
23,61.23338022,32.99318422,93.75289247
24,62.12295071,34.6307427,93.75289247
25,63.07179018,34.27584721,93.75289247
26,63.82944983,36.52657033,93.75289247
27,68.11553513,31.51160356,93.75289247
28,69.65930896,32.41199307,93.75289247
29,68.09130174,33.95868934,93.75289247
30,69.36406982,31.134429,93.75289247
