Generation,MeanFitness,StdDevFitness,MaxFitness
1,7.724004444587456,25.352961427387793,91.49061166337202
2,15.820607897308674,30.625088815360762,92.49405452609942
3,27.414946421246814,34.608285222452174,92.59605369405453
4,43.67697561194591,35.36434308630731,92.59605369405453
5,49.512384009729686,36.398227126217726,92.59605369405453
6,59.80561301313106,32.05200476534449,92.59605369405453
7,59.965225485177875,31.368176465228636,92.93193985886488
8,61.28536394875005,32.453806057015,92.93193985886488
9,70.00382839413265,28.600646165378336,92.93193985886488
10,68.41878995691359,29.994174762573547,93.06728120673463
11,71.16161764815233,28.30634638009873,93.87603602059674
12,74.76512453529384,25.53920914124962,93.87603602059674
13,78.5585550856903,21.993774679603856,93.87603602059674
14,73.91110737811294,29.176286130585968,93.87603602059674
15,78.51954660515337,24.434174331231205,93.87603602059674
16,78.80218690104212,22.919075555808377,93.87603602059674
17,59.9859298495769,40.4157907539904,93.87603602059674
18,70.70070958550379,29.990792657331475,93.87603602059674
19,78.80128372812142,23.675552346046064,93.87603602059674
20,86.39598651556628,14.872546546053645,93.87603602059674
21,85.51785496988977,15.278932347615703,93.87603602059674
22,65.62597894533174,38.83482980004163,93.87603602059674
23,74.23272638852292,31.207407553506822,93.87603602059674
24,81.6021875449995,22.91937603478876,93.87603602059674
25,83.23119504932274,18.797857693907805,93.87603602059674
26,85.48978456969776,17.62921688429171,93.87603602059674
27,69.90721101406145,34.05527414005016,93.87603602059674
28,75.92406941671646,26.72332198273752,93.87603602059674
29,85.417469383797,14.917661148552495,93.87603602059674
30,85.58253637283516,15.254179618128044,93.87603602059674
