Generation,MeanFitness,StdDevFitness,MaxFitness
1,58.58313576,41.65408349,92.8910958
2,71.63623571,35.05850574,93.859465
3,86.67892175,17.02669751,93.9838996
4,89.59740775,13.28921324,94.76278773
5,80.1383799,30.03102332,94.21669509
6,84.33724308,24.76922184,94.10355804
7,89.99092036,9.519475631,94.02936471
8,89.73460459,9.400646336,93.99521403
9,88.31836393,15.46537655,94.45605369
10,90.71193874,9.046666206,93.85825298
11,90.04640502,12.48632752,94.37240366
12,91.77350865,1.016191488,93.86669518
13,89.76457384,12.98309112,94.17521403
14,90.9955811,6.413127565,93.859465
15,90.91024195,7.999999227,93.6117323
16,90.58091146,9.881198321,93.7662498
17,91.10892877,4.055844308,93.25520307
18,90.33621928,8.142533504,93.49520307
19,89.60822902,12.91799813,94.6009447
20,91.23157395,6.327224748,94.55240366
21,91.76001068,1.310526001,94.34278773
22,91.61328858,1.277431545,94.34355804
23,90.34906068,9.51508553,94.69605369
24,91.7837291,1.232816062,94.10355804
25,89.63567787,13.35666907,94.21605369
26,88.63874457,15.95212919,94.76278773
27,91.74198217,1.358971418,94.76278773
28,90.95766847,7.608747973,94.76278773
29,91.87581813,1.117121549,94.76278773
30,91.73145738,1.367938816,94.76278773
,88.20569207,11.38606276,94.1742617
